Startup_Name,Industry_Vertical,City_Location,Investors_Name,Investment_Type,Amount_In_USD
eshakti,E-Commerce,Chennai,Paragon Partners,Private Equity,10100000.00
Daily Ninja,Consumer Internet,Bengaluru,Saama Capital and Sequoia Capital,Seed/ Angel Funding,3000000.00
NirogStreet,Healthcare,Gurugram,"Spiral Ventures, Subho Ray and Samir Kumar",Seed/ Angel Funding,300000.00
Nivesh,Finance,Noida,"LetsVenture, Rajan Anandan, Basab Pradhan, Vivek Khare and Bijoy George",Seed/ Angel Funding,450000.00
What\\xe2\\x80\\x99s Up Life,Consumer Internet,Gurugram,Rannvijay Singha,Seed/ Angel Funding,0.00
HomeLane,Consumer Internet,Bengaluru,Brand Capital,Seed/ Angel Funding,3450000.00
Network Intelligence,Technology,Mumbai,Helix Investments,Private Equity,4800000.00
Tynor Othontics,Healthcare,Chandigarh,Lighthouse Funds & Thuasne Participations,Private Equity,21000000.00
Elucidata,IT,Delhi & Cambridge,Hyperplane Venture Capital and several angel investors,Seed/ Angel Funding,1700000.00
Chrysalis,Ed-Tech,Pune,Menterra Venture & Artha Initiatives,Seed/ Angel Funding,0.00
RentSher,Consumer Internet,Bengaluru,"Shorooq Investments, LetsVenture & Others",Seed/ Angel Funding,1100000.00
Drip capital,Finance,Mumbai,"Accel Partners, Sequoia India, Y Combinator and others.",Private Equity,15000000.00
WickedRide,Consumer Internet,Bengaluru,"Sequoia Capital, Accel Partners & Raghunandan Gangappa",Private Equity,9100000.00
PolicyBazaar,Consumer Internet,Gurugram,SoftBank Vision Fund & Info Edge (India) Ltd,Private Equity,200000000.00
HipBar,Consumer Internet,Bengaluru,Diageo India,Private Equity,4000000.00
Sqqrl,Finance,Gurugram,Equanimity Venture Fund,Seed/ Angel Funding,1000000.00
Paytm,Technology,Noida,One 97 Communications,Private Equity,8950000.00
Sigtuple,Healthcare,Bengaluru,"Accel Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal",Private Equity,19000000.00
Wow Express,Technology,Mumbai,Undisclosed Existing Investors As Well As The Tamarind Family Trust,Private Equity,4500000.00
Front Desk AI,Technology,Bengaluru,Speciale Invest & Others,Seed/ Angel Funding,1100000.00
Edureka,Ed-Tech,Bengaluru,Leo Capital,Seed/ Angel Funding,2000000.00
Numeroseven,Technology,Kolkatta,Shiva Gunapu & Others,Seed/ Angel Funding,0.00
OpenTap,Finance,Chennai,0 High Net-Worth Individuals,Seed / Angel Funding,450000.00
Bizongo,Consumer Internet,Mumbai,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures",Private Equity,22000000.00
Disprz,IT,Chennai,"IL&FS Private Equity, Kae Capital & Others",Seed / Angel Funding,2500000.00
PaisaDukan,Consumer Internet,Mumbai,PayU & Others,Seed / Angel Funding,225000.00
i3sysytems,Technology,Mumbai,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala",Seed / Angel Funding,1000000.00
Earth Food,Consumer Internet,Pune,Rairah Corporation,Seed / Angel Funding,949000.00
Nykaa,Consumer Internet,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,24000000.00
mfine,Healthcare,Bengaluru,"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal",Private Equity,4200000.00
Rocketium,Technology,Bengaluru,Blume ventures,Seed/ Angel Funding,300000.00
MilkBasket,Technology,Gurugram,"Kalaari Capital, Unilever Ventures and Blume Ventures",Private Equity,7000000.00
Vola,Finance,Bengaluru,Credika and unnamed angel investors,Seed/ Angel Funding,500000.00
Cashkumar,Consumer Internet,Bengaluru,LetsVenture,Seed/ Angel Funding,735000.00
Edyoo,E-Commerce,Bengaluru,RS Shanbag,Seed/ Angel Funding,735000.00
Aashiyaan,Finance,Kolkata,"Insistor, Oikocredit",Seed/ Angel Funding,2000000.00
Smartivity,Ed-tech,Delhi,"Ashish Kacholi, S Chand Group",Seed/ Angel Funding,2000000.00
